project-001	https://www.biglakemn.org/AgendaCenter/ViewFile/Agenda/_02182026-1219	plan=25	elevation=13
project-002	https://resources.finalsite.net/images/v1702662401/tulsaschoolsorg/gnzaaar02cqliciw6qti/Addendum1_11.pdf	plan=3	elevation=1
project-003	https://www.hamilton-builders.com/wp-content/uploads/2025/01/4809-Issue-Dwgs-24Oct25-compressed.pdf	plan=1	elevation=1
project-004	https://cityofdawson.ca/Home/DownloadMeeting/5845cbcc-1500-4045-859b-000d97200f28?isEnglish=True	plan=40	elevation=40
project-005	https://www.gramoll.com/wp-content/uploads/2018/10/UofU-CVRTI_BID-DRAWINGS_22-01-31.pdf	plan=2	elevation=2
project-006	https://ddc-teslin.com/wp-content/uploads/2024/12/Structural-Drawings-250131.pdf	plan=1	elevation=1
project-007	https://permits.kirklandwa.gov/WebDocs/2018060177/c6288449-587a-445a-97b7-7249e80c06ba.pdf	plan=7	elevation=20
project-008	https://www.hgtc.edu/documents/procurement/h59-n269-cb-drawings.pdf	plan=1	elevation=1
project-009	https://legacy.winnipeg.ca/finance/findata/matmgt/documents/2007/832-2007/832-2007_Bid_Opportunity.pdf	plan=31	elevation=30
project-010	https://iisc.uiowa.edu/sites/iisc.uiowa.edu/files/2024-05/Final%20Designs%20-%20Bondurant%20Public%20Works%20Building.pdf	plan=1	elevation=1
project-011	https://dominguezdesign-build.com/wp-content/uploads/2024/10/Drawings-Vol.-1-Tuscaloosa-DHR-Building-1.pdf	plan=2	elevation=2
project-012	https://www.sanibelfire.com/files/d6cc0d1ed/SFRD+%23172_BID+SET+-+Architectural+Set_2024.01.05.pdf	plan=1	elevation=1
project-013	https://www.inhp.org/wp-content/uploads/2024/04/3852-FINAL-PLANS.pdf	plan=2	elevation=1
project-014	https://tapsbus.com/wp-content/uploads/2024/03/2024-0325_TAPS_IFB-Construction-Documents2.pdf	plan=59	elevation=1
project-015	https://solicitations.thorntonco.gov/files/filerecords/view/vendorattachment/21942/tfm---complete-drawing-set_addendum--4---05-01-25.pdf	plan=1	elevation=1
project-016	https://portwentworthga.gov/wp-content/uploads/2023/12/Port-Wentworth-Submittal.pdf	plan=2	elevation=2
